Sample	Phylum	Host	Compartment	Seq_count
S-19-POLJUN-B	Others	P_juniperinum	Brown	17625
S-2-POLJUN-B	Others	P_juniperinum	Brown	1869
S-20-POLJUN-B	Others	P_juniperinum	Brown	16658
S-21-POLJUN-B	Others	P_juniperinum	Brown	26899
S-22-POLJUN-B	Others	P_juniperinum	Brown	74828
S-23-POLJUN-B	Others	P_juniperinum	Brown	72120
S-24-POLJUN-B	Others	P_juniperinum	Brown	53343
S-25-POLJUN-B	Others	P_juniperinum	Brown	15603
S-26-POLJUN-B	Others	P_juniperinum	Brown	24123
S-27-POLJUN-B	Others	P_juniperinum	Brown	20560
S-3-POLJUN-B	Others	P_juniperinum	Brown	868
S-7-POLJUN-B	Others	P_juniperinum	Brown	1604
S-8-POLJUN-B	Others	P_juniperinum	Brown	3759
S-9-POLJUN-B	Others	P_juniperinum	Brown	4704
S-1-POLJUN-B	Proteobacteria	P_juniperinum	Brown	74572
S-10-POLJUN-B	Proteobacteria	P_juniperinum	Brown	34698
S-11-POLJUN-B	Proteobacteria	P_juniperinum	Brown	22594
S-12-POLJUN-B	Proteobacteria	P_juniperinum	Brown	25321
S-13-POLJUN-B	Proteobacteria	P_juniperinum	Brown	31798
S-14-POLJUN-B	Proteobacteria	P_juniperinum	Brown	21000
S-15-POLJUN-B	Proteobacteria	P_juniperinum	Brown	26786
S-16-POLJUN-B	Proteobacteria	P_juniperinum	Brown	18215
S-17-POLJUN-B	Proteobacteria	P_juniperinum	Brown	17465
S-18-POLJUN-B	Proteobacteria	P_juniperinum	Brown	15340
S-19-POLJUN-B	Proteobacteria	P_juniperinum	Brown	39644
S-2-POLJUN-B	Proteobacteria	P_juniperinum	Brown	53131
S-20-POLJUN-B	Proteobacteria	P_juniperinum	Brown	42638
S-21-POLJUN-B	Proteobacteria	P_juniperinum	Brown	30843
S-22-POLJUN-B	Proteobacteria	P_juniperinum	Brown	46003
S-23-POLJUN-B	Proteobacteria	P_juniperinum	Brown	53473
S-24-POLJUN-B	Proteobacteria	P_juniperinum	Brown	40553
S-25-POLJUN-B	Proteobacteria	P_juniperinum	Brown	32470
S-26-POLJUN-B	Proteobacteria	P_juniperinum	Brown	39844
S-27-POLJUN-B	Proteobacteria	P_juniperinum	Brown	39309
S-3-POLJUN-B	Proteobacteria	P_juniperinum	Brown	31199
S-7-POLJUN-B	Proteobacteria	P_juniperinum	Brown	68969
S-8-POLJUN-B	Proteobacteria	P_juniperinum	Brown	62489
S-9-POLJUN-B	Proteobacteria	P_juniperinum	Brown	44191
S-1-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	49972
S-10-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	19289
S-11-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	26910
S-12-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	21029
S-13-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	10526
S-14-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	17694
S-15-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	14237
S-16-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	18594
S-17-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	33931
S-18-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	26293
S-19-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	19265
S-2-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	41012
S-20-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	13870
S-21-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	16174
S-22-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	17384
S-23-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	12659
S-24-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	10863
S-25-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	14227
S-26-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	13618
S-27-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	11905
S-3-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	32472
S-7-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	29676
S-8-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	34006
S-9-POLJUN-B	Pseudomonadota	P_juniperinum	Brown	30955
S-1-POLPIL-B	Acidobacteriota	P_piliferum	Brown	98935
S-10-POLPIL-B	Acidobacteriota	P_piliferum	Brown	60351
S-11-POLPIL-B	Acidobacteriota	P_piliferum	Brown	59767
S-12-POLPIL-B	Acidobacteriota	P_piliferum	Brown	24683
S-13-POLPIL-B	Acidobacteriota	P_piliferum	Brown	17245
S-14-POLPIL-B	Acidobacteriota	P_piliferum	Brown	11974
S-15-POLPIL-B	Acidobacteriota	P_piliferum	Brown	20466
S-16-POLPIL-B	Acidobacteriota	P_piliferum	Brown	12636
S-17-POLPIL-B	Acidobacteriota	P_piliferum	Brown	24987
S-18-POLPIL-B	Acidobacteriota	P_piliferum	Brown	22178
S-19-POLPIL-B	Acidobacteriota	P_piliferum	Brown	48772
S-2-POLPIL-B	Acidobacteriota	P_piliferum	Brown	74580
S-20-POLPIL-B	Acidobacteriota	P_piliferum	Brown	71405
S-22-POLPIL-B	Acidobacteriota	P_piliferum	Brown	26147
S-23-POLPIL-B	Acidobacteriota	P_piliferum	Brown	34655
S-24-POLPIL-B	Acidobacteriota	P_piliferum	Brown	35985
S-25-POLPIL-B	Acidobacteriota	P_piliferum	Brown	81793
S-26-POLPIL-B	Acidobacteriota	P_piliferum	Brown	40437
S-27-POLPIL-B	Acidobacteriota	P_piliferum	Brown	29792
S-3-POLPIL-B	Acidobacteriota	P_piliferum	Brown	102542
S-4-POLPIL-B	Acidobacteriota	P_piliferum	Brown	36723
S-5-POLPIL-B	Acidobacteriota	P_piliferum	Brown	21007
S-6-POLPIL-B	Acidobacteriota	P_piliferum	Brown	21999
S-7-POLPIL-B	Acidobacteriota	P_piliferum	Brown	51681
S-8-POLPIL-B	Acidobacteriota	P_piliferum	Brown	47255
S-9-POLPIL-B	Acidobacteriota	P_piliferum	Brown	40747
S-1-POLPIL-B	Actinobacteriota	P_piliferum	Brown	3267
S-10-POLPIL-B	Actinobacteriota	P_piliferum	Brown	13482
S-11-POLPIL-B	Actinobacteriota	P_piliferum	Brown	14092
S-12-POLPIL-B	Actinobacteriota	P_piliferum	Brown	4367
S-13-POLPIL-B	Actinobacteriota	P_piliferum	Brown	2433
S-14-POLPIL-B	Actinobacteriota	P_piliferum	Brown	2549
S-15-POLPIL-B	Actinobacteriota	P_piliferum	Brown	2793
S-16-POLPIL-B	Actinobacteriota	P_piliferum	Brown	11770
S-17-POLPIL-B	Actinobacteriota	P_piliferum	Brown	10199
S-18-POLPIL-B	Actinobacteriota	P_piliferum	Brown	7041
S-19-POLPIL-B	Actinobacteriota	P_piliferum	Brown	22400
S-2-POLPIL-B	Actinobacteriota	P_piliferum	Brown	7526
S-20-POLPIL-B	Actinobacteriota	P_piliferum	Brown	11106
