Sample	PCOA1	PCOA2	LocType	Month	Compartment	Microsite	Location	CoMoss	Vege1	Vege2	Vege3	Vege4	SoilMoisture	SoilpH	SiteHumidity	AmbientTemp	SoilTemp	OrgLayer	LeafLitter	LeafLitterSpec	Canopy	Host
S-6-POLPIL-G	-0.21562720960524714	-2.1298488506816593	Natural	September	Green	K	Chemin PK	NA	alninc	NA	NA	NA	5.89	5.32	43	23.9	12.4	0	High	alninc	49.13	P_piliferum
S-7-DICUND-B	-2.2336595873961675	1.2509402846819053	Natural	September	Brown	W	Eastmain 2	NA	kalang	rhogro	pinban	NA	190.92	3.75	50	28.6	12.1	0	None	none	59.24	D_undulatum
S-7-DICUND-G	-3.7521041961077954	1.9074130351251923	Natural	September	Green	W	Eastmain 2	NA	kalang	rhogro	pinban	NA	190.92	3.75	50	28.6	12.1	0	None	none	59.24	D_undulatum
S-7-POLCOM-B	-2.2725539238281938	-1.8944937603558736	Natural	September	Brown	T	Eastmain 2	polpil	vacbor	alncri	kalang	NA	6.39	5.14	55	29.3	14.1	2	Medium	vacbor	52.71	P_commune
S-7-POLCOM-G	-0.6177896539696991	-2.7874703392385554	Natural	September	Green	T	Eastmain 2	polpil	vacbor	alncri	kalang	NA	6.39	5.14	55	29.3	14.1	2	Medium	vacbor	52.71	P_commune
S-7-POLJUN-B	0.9422611785181901	-0.9648753071469485	Natural	September	Brown	Q	Eastmain 1	NA	betnan	NA	NA	NA	8.05	5.16	67	22.6	15.2	0	Medium	betnan	72.51	P_juniperinum
S-7-POLJUN-G	1.1187546923483327	-1.0401116152768708	Natural	September	Green	Q	Eastmain 1	NA	betnan	NA	NA	NA	8.05	5.16	67	22.6	15.2	0	Medium	betnan	72.51	P_juniperinum
S-7-POLPIL-B	0.25447937751120314	0.5386434794525485	Natural	September	Brown	L	Chemin PK	NA	alninc	NA	NA	NA	7.56	5.21	41	24	16.6	0	Medium	alninc	55.02	P_piliferum
S-7-POLPIL-G	1.171374133269605	-0.22290760808233365	Natural	September	Green	L	Chemin PK	NA	alninc	NA	NA	NA	7.56	5.21	41	24	16.6	0	Medium	alninc	55.02	P_piliferum
S-8-DICUND-B	-3.443597751271883	1.8061500171776206	Natural	September	Brown	W	Eastmain 2	NA	kalang	rhogro	pinban	NA	190.92	3.75	50	28.6	12.1	0	None	none	59.24	D_undulatum
S-8-DICUND-G	-2.8639111261658377	1.4333627496663135	Natural	September	Green	W	Eastmain 2	NA	kalang	rhogro	pinban	NA	190.92	3.75	50	28.6	12.1	0	None	none	59.24	D_undulatum
S-8-POLCOM-B	-1.6467006289595776	-1.2586217720914685	Natural	September	Brown	T	Eastmain 2	polpil	vacbor	alncri	kalang	NA	6.39	5.14	55	29.3	14.1	2	Medium	vacbor	52.71	P_commune
S-8-POLCOM-G	-0.7336152906475505	-2.6551749829840396	Natural	September	Green	T	Eastmain 2	polpil	vacbor	alncri	kalang	NA	6.39	5.14	55	29.3	14.1	2	Medium	vacbor	52.71	P_commune
S-8-POLJUN-B	0.828186182402758	-0.5442390049275868	Natural	September	Brown	Q	Eastmain 1	NA	betnan	NA	NA	NA	8.05	5.16	67	22.6	15.2	0	Medium	betnan	72.51	P_juniperinum
S-8-POLJUN-G	1.2529256677964589	-0.8722155817882548	Natural	September	Green	Q	Eastmain 1	NA	betnan	NA	NA	NA	8.05	5.16	67	22.6	15.2	0	Medium	betnan	72.51	P_juniperinum
S-8-POLPIL-B	0.32068559254155404	0.2003289302089007	Natural	September	Brown	L	Chemin PK	NA	alninc	NA	NA	NA	7.56	5.21	41	24	16.6	0	Medium	alninc	55.02	P_piliferum
S-8-POLPIL-G	1.0311885903305575	-0.4593817735290445	Natural	September	Green	L	Chemin PK	NA	alninc	NA	NA	NA	7.56	5.21	41	24	16.6	0	Medium	alninc	55.02	P_piliferum
S-9-DICUND-B	-3.1852725851381525	1.7435342979217758	Natural	September	Brown	W	Eastmain 2	NA	kalang	rhogro	pinban	NA	190.92	3.75	50	28.6	12.1	0	None	none	59.24	D_undulatum
